상품명,가격,판매여부,날짜,시간,24시간이내,프로상점,광고,케어,무료배송,지역,URL,상품ID,세부카테고리ID,대분류,중분류,소분류
여성 얇은 니트 반팔 브이넥 티 티셔츠 여자 라운드 봄 여름 가을 옷,10000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,대구광역시 중구 대신동,https://m.bunjang.co.kr/products/259329899,259329899,310260800,여성의류,상의,니트_스웨터
로브그레이 니트,15000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/327629670,327629670,310260800,여성의류,상의,니트_스웨터
레이라이 니트,15000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/327628042,327628042,310260800,여성의류,상의,니트_스웨터
아잉 니트,12000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/323715603,323715603,310260800,여성의류,상의,니트_스웨터
퀸즈래빗 알파카 니트,15000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/301159128,301159128,310260800,여성의류,상의,니트_스웨터
새상품)벨트포함 케이프 니트,23000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/332189647,332189647,310260800,여성의류,상의,니트_스웨터
시스템 SYSTEM 여성 크리스탈 니트탑,150000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/330647290,330647290,310260800,여성의류,상의,니트_스웨터
마제 Maje 여성 반팔 니트탑,60000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/330647050,330647050,310260800,여성의류,상의,니트_스웨터
유니클로 jw앤더슨 니트 L,20000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/323649264,323649264,310260800,여성의류,상의,니트_스웨터
에잇세컨즈 브이넥 크롭 롱슬리브 풀오버 -와인 L,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/323202512,323202512,310260800,여성의류,상의,니트_스웨터
케이클럽 유어 도톰 케이블 니트  L,11000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/315555054,315555054,310260800,여성의류,상의,니트_스웨터
0003[ab.f.z] 그린 반팔 니트티,6000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/338892588,338892588,310260800,여성의류,상의,니트_스웨터
다이애그널 SHIRRING VOLUME SLEEVE KNIT TOP,45000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,서울특별시 마포구 서교동,https://m.bunjang.co.kr/products/305030163,305030163,310260800,여성의류,상의,니트_스웨터
낫띵리튼 Basic v-neck silpover(Grey),72530,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/319712657,319712657,310260800,여성의류,상의,니트_스웨터
문달 Deep Vneck Knit,145070,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/325228445,325228445,310260800,여성의류,상의,니트_스웨터
반값이하) 핸드메이드 니트 메이윤 히니크 히프나틱 프롬데이원,20800,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/299272178,299272178,310260800,여성의류,상의,니트_스웨터
막스마라 위켄드 니트 반팔 티셔츠 화이트(M),55000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/338892511,338892511,310260800,여성의류,상의,니트_스웨터
