category,status,title,price,nickname,date
가공식품_비음료,판매,뉴케어 구수한맛,"30,000",kimhj5461,2025.06.01.
가공식품_비음료,판매,플라이밀 스타터팩(9개),"24,000",스너글ㄹ,2025.06.01.
가공식품_비음료,판매,녹용 홍삼진 30포 X5박스 150포 선물 받은거 판매,"84,000",택배외불가,2025.06.01.
가공식품_비음료,판매(안전),(새상품) 은성식품 5종 수연소면 국수 선물세트,"20,000",단정한공간,2025.06.01.
가공식품_비음료,판매,뉴케어 ibd아미노,"40,000",러블리썬,2025.06.01.
가공식품_비음료,판매,아뉴어 레티놀워터 (14개입*3박스),"70,000",Zzomange,2025.06.01.
가공식품_비음료,판매,[새상품] 셀렉스 프로틴 락토프리 플러스 608g 단백질 파우더,"26,000",다스z,2025.05.31.
가공식품_비음료,판매,백세 홍삼진 70ml 30포 5박스 열많아서 못먹어서 판매함,"84,000",사기구분못함연락사절,2025.05.31.
가공식품_비음료,판매,(새제품) 슈퍼말차 퓨어포켓,"8,000",붕어빵좋앙,2025.05.31.
가공식품_비음료,판매,홍삼엔 건강세상 30포x6박스 180포 쇼핑백포함 안먹어서 저렴히 판매. 6만원 무료배송,"60,000",모르면연락하지마세요,2025.05.31.
가공식품_비음료,판매,"생유산균 5,000원 택배외 불가 30개 선물 받은거 다 못 먹어서 판매함","5,000",모르면연락하지마세요,2025.05.31.
가공식품_비음료,완료,농심 육개장 사발면 30개 1.6만원 판매합니다,"16,000",부산정다운,2025.05.31.
가공식품_비음료,판매,녹용 홍삼진 30포 X5박스 150포 선물 받은거 판매,"84,000",택배외불가,2025.05.31.
가공식품_비음료,판매(안전),코코호도 코코너츠,"15,000",aaaienn,2025.05.31.
가공식품_비음료,판매(안전),두바이 픽스 초콜릿 정품 전국 최저가 택배가능,"48,000",qusdnfka,2025.05.31.
가공식품_비음료,판매,녹차원 고려 홍삼차 50티백 미개봉 새상품 7천원에 팝니다,"7,000",따랑이사랑해,2025.05.31.
가공식품_비음료,판매,플라이밀,"39,000",스너글ㄹ,2025.05.31.
가공식품_비음료,판매,육개장 사발면 30개,"18,000",표이,2025.05.31.
가공식품_비음료,완료,맥심 모카골드,"10,000",미르맥스,2025.05.31.
가공식품_비음료,판매,일본 북해도 한정 스노우치즈 쿠키,"12,345",rijsb,2025.05.31.
가공식품_비음료,완료,해표 올리브유 900ml 3개,"10,000",미르맥스,2025.05.31.
가공식품_비음료,판매,와일드허니 목청꿀,"110,000",삼천세계피의바다,2025.05.31.
가공식품_비음료,판매(안전),수제바닐라익스트랙,"30,000",아자,2025.05.31.
가공식품_비음료,판매,르꼬르망 서리태,"65,000",tkfkdgo2717,2025.05.31.
가공식품_음료,판매,연습용 원두 팝니다.,"9,000",opopwasd,20:12
가공식품_음료,판매(안전),뉴케어 검은깨 완전균형영양식 200ml 60개,"59,000",lyjo****,19:44
가공식품_음료,판매(안전),새상품 500g 원두데일리 구수하고마 새상품 이에요. 홀빈 원두 커피(개당가격),"9,000",12,19:41
가공식품_음료,판매,티젠 콤부차 10종 세트 100포,"25,000",이집트prince,18:45
가공식품_음료,판매,퍼니트 애플사이다비니거 3박스 (90포),"24,000",이집트prince,18:45
가공식품_음료,판매,퍼니트 콤부차 3종 세트 (파인애플/레몬/ 피치) 90포,"16,000",이집트prince,18:45
가공식품_음료,판매,레미 마틴 xo 판매해요,"150,000",dawnstar09,17:23
가공식품_음료,판매,차마루 정읍 쌍화차 100ml x 20포 + 밤고명 40g x 10개 (선물세트),"35,000",스윗바질 티,16:41
가공식품_음료,판매,맥심 모카골드 커피믹스 210T + 170T,"50,000",그날을잊지말자,16:08
가공식품_음료,판매(안전),하준맘 보람차 60포 택포 8만,"80,000",talkinrany,15:38
가공식품_음료,판매,숙취엔벌나무 20포,"30,000",졸려 s2,15:09
가공식품_음료,판매(안전),바이리브 레사비 삽니다,"10,000",Thatlzkdzn,14:33
